Distance [mm];By [];Bag;#;;;
134,1895805;0,020734334;0,453;248;3,116358978;0,012867809;178,5542169
134,7328581;0,013814059;0,453;249;3,128975815;0,006434417;179,2771084
135,2761358;0,006895004;0,453;250;3,141592654;6,24826E-17;180
135,8194135;-2,33E-05;-0,453;1;3,154209493;-0,006434417;180,7228916
136,3626911;-0,006951296;-0,453;2;3,166826329;-0,012867809;181,4457831
136,9059688;-0,013879276;-0,453;3;3,179443168;-0,019299154;182,1686748
137,4492464;-0,020807257;-0,453;4;3,192060005;-0,025727425;182,8915662
137,9925241;-0,027704926;-0,453;5;3,204676844;-0,032151602;183,6144579
138,5358017;-0,034598062;-0,453;6;3,217293681;-0,03857066;184,3373494
139,0790794;-0,041489119;-0,453;7;3,22991052;-0,04498358;185,060241
139,622357;-0,048391684;-0,453;8;3,242527357;-0,051389337;185,7831325
140,1656347;-0,055303805;-0,453;9;3,255144196;-0,057786916;186,5060241
140,7089123;-0,062205379;-0,453;10;3,267761032;-0,064175294;187,2289156
141,25219;-0,069096405;-0,453;11;3,280377871;-0,070553459;187,9518072
141,7954676;-0,075976883;-0,453;12;3,292994708;-0,076920391;188,6746987
142,3387453;-0,082827572;-0,453;13;3,305611547;-0,08327508;189,3975904
142,882023;-0,089603544;-0,453;14;3,318228386;-0,089616513;190,120482
143,4253006;-0,096367225;-0,453;15;3,330845223;-0,09594368;190,8433735
143,9685783;-0,103118616;-0,453;16;3,343462062;-0,102255575;191,5662651
144,5118559;-0,109857716;-0,453;17;3,356078899;-0,108551192;192,2891566
145,0551336;-0,116584527;-0,453;18;3,368695738;-0,11482953;193,0120482
145,5984112;-0,123299049;-0,453;19;3,381312574;-0,121089588;193,7349397
146,1416889;-0,130001284;-0,453;20;3,393929413;-0,127330373;194,4578314
146,6849665;-0,136691233;-0,453;21;3,40654625;-0,133550887;195,1807229
147,2282442;-0,143368896;-0,453;22;3,419163089;-0,139750143;195,9036145
147,7715218;-0,150034275;-0,453;23;3,431779926;-0,145927153;196,626506
148,3147995;-0,156659763;-0,453;24;3,444396765;-0,152080935;197,3493976
148,8580771;-0,163237212;-0,453;25;3,457013602;-0,158210507;198,0722891
149,4013548;-0,169800059;-0,453;26;3,469630441;-0,164314895;198,7951807
149,9446324;-0,176348309;-0,453;27;3,482247277;-0,170393127;199,5180722
150,4879101;-0,182881965;-0,453;28;3,494864116;-0,176444236;200,2409638
