"Distance [mm],""Bz []""";;;;
0;;;;
0.19373154697137,;;;;
0.387463093942741,;;;;
0.581194640914111,;;;;
0.774926187885482,;;;;
0.968657734856852,;;;;
82,9171021;-0,642802673;-0,57;138;-0,650007318
83,11083365;-0,641691045;-0,57;139;-0,647752593
83,3045652;-0,640548845;-0,57;140;-0,645385007
83,49829674;-0,639376081;-0,57;141;-0,64290497
83,69202829;-0,638172761;-0,57;142;-0,640312916
83,88575984;-0,636938895;-0,57;143;-0,637609295
84,07949139;-0,63567449;-0,57;144;-0,63479458
84,27322293;-0,634379554;-0,57;145;-0,631869261
84,46695448;-0,633054096;-0,57;146;-0,628833846
84,66068603;-0,631698125;-0,57;147;-0,625688866
84,85441757;-0,630311648;-0,57;148;-0,622434868
85,04814912;-0,628894674;-0,57;149;-0,619072418
85,24188067;-0,626922726;-0,57;150;-0,615602104
85,43561221;-0,624953356;-0,57;151;-0,612024529
85,62934376;-0,622999337;-0,57;152;-0,608340317
85,82307531;-0,621060695;-0,57;153;-0,60455011
86,01680686;-0,619137457;-0,57;154;-0,600654568
86,2105384;-0,617229648;-0,57;155;-0,596654371
86,40426995;-0,615337294;-0,57;156;-0,592550214
86,5980015;-0,613460421;-0,57;157;-0,588342813
86,79173304;-0,611599055;-0,57;158;-0,584032901
86,98546459;-0,609753222;-0,57;159;-0,579621229
87,17919614;-0,607922947;-0,57;160;-0,575108566
87,37292768;-0,606108256;-0,57;161;-0,570495698
87,56665923;-0,604309176;-0,57;162;-0,565783429
87,76039078;-0,601430527;-0,57;163;-0,560972579
87,95412233;-0,597980394;-0,57;164;-0,556063988
88,14785387;-0,594455507;-0,57;165;-0,55105851
88,34158542;-0,590855899;-0,57;166;-0,545957017
88,53531697;-0,587181605;-0,57;167;-0,540760398
88,72904851;-0,583432662;-0,57;168;-0,53546956
88,92278006;-0,579609102;-0,57;169;-0,530085422
89,11651161;-0,575710962;-0,57;170;-0,524608925
89,31024315;-0,571738275;-0,57;171;-0,519041021
89,5039747;-0,567691078;-0,57;172;-0,513382681
89,69770625;-0,563569405;-0,57;173;-0,507634892
89,89143779;-0,55937329;-0,57;174;-0,501798653
90,08516934;-0,555260184;-0,57;175;-0,495874983
90,27890089;-0,552405521;-0,57;176;-0,489864914
90,47263244;-0,549266104;-0,57;177;-0,483769492
90,66636398;-0,545841786;-0,57;178;-0,477589779
90,86009553;-0,542132418;-0,57;179;-0,471326853
91,05382708;-0,537815662;-0,57;180;-0,464981805
91,24755862;-0,53274501;-0,57;181;-0,458555739
91,44129017;-0,527428199;-0,57;182;-0,452049777
91,63502172;-0,52186507;-0,57;183;-0,445465051
91,82875326;-0,516055462;-0,57;184;-0,438802708
92,02248481;-0,509999215;-0,57;185;-0,43206391
92,21621636;-0,503696171;-0,57;186;-0,425249831
92,40994791;-0,497146168;-0,57;187;-0,418361657
92,60367945;-0,490349047;-0,57;188;-0,41140059
92,797411;-0,483304649;-0,57;189;-0,404367841
92,99114255;-0,476012814;-0,57;190;-0,397264637
93,18487409;-0,468473381;-0,57;191;-0,390092214
93,37860564;-0,460686193;-0,57;192;-0,382851824
93,57233719;-0,452704372;-0,57;193;-0,375544726
93,76606873;-0,444656879;-0,57;194;-0,368172195
93,95980028;-0,436549008;-0,57;195;-0,360735515
94,15353183;-0,428380759;-0,57;196;-0,353235981
94,34726338;-0,420152136;-0,57;197;-0,345674901
94,54099492;-0,41186314;-0,57;198;-0,338053592
94,73472647;-0,403513775;-0,57;199;-0,330373381
94,92845802;-0,395104042;-0,57;200;-0,322635607
95,12218956;-0,386633945;-0,57;201;-0,314841618
95,31592111;-0,378103486;-0,57;202;-0,306992772
95,50965266;-0,369512667;-0,57;203;-0,299090437
95,7033842;-0,36086149;-0,57;204;-0,291135989
95,89711575;-0,35214996;-0,57;205;-0,283130815
96,0908473;-0,343378078;-0,57;206;-0,275076309
96,28457884;-0,334545846;-0,57;207;-0,266973874
96,47831039;-0,325653268;-0,57;208;-0,258824923
